ID,US ID,Process Flow,RFP/NEW,Priority,Epic ,New Epic,Feature,Story,Efforts ,Efforts in person-days - Final,Sprint #,JIRA ID,,,,,,,,,,Don't Delete,Don't Delete,Efforts ,New Epics
"Req_1096
PP_085",Req_1096_001,T2 Import-Export,New,Priority 2,Case Management,Data Integration,,Implement Automated Currency Exchange Rate Retrieval in CRRS,13,,,#N/A,#N/A,,,,,,,,,,Req_1096,13,Data Integration
"Req_1097
PP_086",Req_1097_001,T2 Import-Export,New,Priority 3,Case Management,Data Integration,,Grant AHM US Agents Access to HDM Service Bulletins via CRRS,13,,,#N/A,#N/A,,,,,,,,,,Req_1097,13,Data Integration
Req_027,Req_027_001,T2 Import-Export,RFP,Priority 1,Case Management,Agent Functions via Email Application,,Enhance email to customers,1,,,#N/A,#N/A,,,,,,,,,,Req_027,1,Agent Functions via Email Application
"Req_1098
PP_075",Req_1098_001,T2 Import-Export,Out of scope,Priority 1,Case Management,Data Integration,,Reimbursement of warranty claims ,13,,,#N/A,#N/A,,,,,,,,,,Req_1098,13,Data Integration
"Req_1099
PP_078",Req_1099_001,T2 Import-Export,New,Priority 1,Case Management,Agent Functions via Email Application,,Email functionality-  Recall Clearance and Compliance letters ,1,,,#N/A,#N/A,,,,,,,,,,Req_1099,1,Agent Functions via Email Application
Req_245,Req_245_001,T2 Import-Export,RFP,Priority 1,Reports & Dashboards,Data Integration,,Enhance the report on VIN details,3,,,#N/A,#N/A,,,,,,,,,,Req_245,3,Data Integration
"Req_1064
PP_101",Req_1064_001,Knowledge & Training,New,Priority 1,Case Management - Automation,Agent Console Call Flow,,Customized Screen Flows for Specific Call Types,8,,,PR09918-40,#N/A,,,,,,,,,,Req_1064,8,Agent Console Call Flow
"Req_1061
PP_096",Req_1061_001,Knowledge & Training,New,Priority 4,Case Management - Automation,Case Management,,Improved automatic case summary with voice transcription,5,,,PR09918-33,#N/A,,,,,,,,,,Req_1061,5,Case Management
"Req_135
PP_112",Req_135_001,Knowledge & Training,RFP,Priority 1,Case Management - Automation,Knowledge Article Management - Automation,,"Auto-Generated Notifications and Flagging Important Chatter Posts
",5,,,PR09918-97,#N/A,,,,,,,,,,Req_135,5,Knowledge Article Management - Automation
Req_211,Req_211_001,Knowledge & Training,RFP,Priority 1,"Customer Self-service

",Knowledge Article Management,,Customer Access to Self-Service Knowledge Articles,2,,,#N/A,PR09918-278,,,,,,,,,,Req_211,2,Knowledge Article Management
Req_212,Req_212_001,Knowledge & Training,RFP,Priority 1,"Customer Self-service

",Knowledge Article Management,,"Customer Feedback on Knowledge Articles in Self-Service
",0,,,#N/A,PR09918-279,,,,,,,,,,Req_212,0,Knowledge Article Management
"Req_1059
PP_094",Req_1059_001,Knowledge & Training,New,Priority 3,Data Integration,Data Integration,,Integration with external Honda systems,21,,,PR09918-34,#N/A,,,,,,,,,,Req_1059,21,Data Integration
"Req_1060
PP_095",Req_1060_001,Knowledge & Training,New,Priority 1,Knowledge Management,Search Functionality,,Improved search Knowledge Artcles with Einstein Gen AI,34,,,PR09918-31,#N/A,,,,,,,,,,Req_1060,34,Search Functionality
"Req_1062
PP_097
Req_1067
PP_110",Req_1062_001,Knowledge & Training,New,Priority 4,Knowledge Management,Knowledge Article Management - Automation,,"Automated Scenario Suggestions for KA Authoring
",5,,,#N/A,#N/A,,,,,,,,,,Req_1062,5,Knowledge Article Management - Automation
"Req_1067
PP_110",Req_1067_001,Knowledge & Training,New,Priority 2,Knowledge Management,Knowledge Article Management,,"Enable Contact Center Agents to Propose Knowledge Articles Based on Case Trends
",0,duplicate,,#N/A,#N/A,,,,,,,,,,Req_1067,0,Knowledge Article Management
"Req_129
PP_098
",Req_129_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management,,"Improved KA Authoring with Image and Text Support in from MS Word
",3,,,#N/A,#N/A,,,,,,,,,,Req_129,3,Knowledge Article Management
"Req_1063
PP_099",Req_1063_001,Knowledge & Training,New,Priority 1,Knowledge Management,Knowledge Article Management,,"Enable Video Attachments in KA Authoring
",2,,,#N/A,#N/A,,,,,,,,,,Req_1063,2,Knowledge Article Management
"Req_131
PP_100",Req_131_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management - Automation,,Streamlined KA multilevel approval process in CRRS,5,,,PR09918-38,PR09918-274,,,,,,,,,,Req_131,5,Knowledge Article Management - Automation
"Req_132
PP_102",Req_132_001,Knowledge & Training,RFP,Priority 3,Knowledge Management,Knowledge Article Management,,"Enable Direct Feedback on Knowledge Articles
",3,,,PR09918-43,PR09918-48,,,,,,,,,,Req_132,3,Knowledge Article Management
"Req_1068
PP_103",Req_1068_001,Knowledge & Training,New,Priority 1,Knowledge Management,Knowledge Article Management,,"Removal of Character Limit for KA Authoring
",2,,,#N/A,#N/A,,,,,,,,,,Req_1068,2,Knowledge Article Management
"Req_132
PP_106",Req_132_001,Knowledge & Training,RFP,Priority 3,Knowledge Management,Knowledge Article Management,,"Two-Way Feedback Process Between AHM Business and Quality Teams
",3,,,PR09918-43,PR09918-48,,,,,,,,,,Req_132,3,Knowledge Article Management
"Req_131
PP_107",Req_131_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management - Automation,,"Enable Non-SFDC Users to Approve Knowledge Articles
",5,,,PR09918-38,PR09918-274,,,,,,,,,,Req_131,5,Knowledge Article Management - Automation
"Req_1065
PP_108",Req_1065_001,Knowledge & Training,New,Priority 1,Knowledge Management,Agent Functions via Email Application,,"Enable Contact Center Agents to Email Public-Facing KA Links via CRRS
",8,,,PR09918-45,#N/A,,,,,,,,,,Req_1065,8,Agent Functions via Email Application
"Req_1066
PP_109",Req_1066_001,Knowledge & Training,New,Priority 2,Knowledge Management,Data Integration,,"Automate Sending Updated Articles to MyGarage Team
",21,,,PR09918-46,#N/A,,,,,,,,,,Req_1066,21,Data Integration
"Req_212
PP_111
Req_132",Req_212_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management,,"Enable Contact Center Agents to Provide Direct Feedback on Knowledge Articles
",0,,,#N/A,PR09918-279,,,,,,,,,,Req_212,0,Knowledge Article Management
Req_132,Req_132_002,Knowledge & Training,RFP,Priority 3,Knowledge Management,Knowledge Article Management,,"Incorporate Feedback from Various Sources into Knowledge Articles
",3,,,#N/A,PR09918-48,,,,,,,,,,Req_132,3,Knowledge Article Management
"Req_134
PP_111_A",Req_134_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management,,"Future Refresh of Tags and Categories in CRRS
",5,,,#N/A,#N/A,,,,,,,,,,Req_134,5,Knowledge Article Management
"Req_136
PP_113",Req_136_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management - Automation,,Improve Knowledge Article Suggestions in CRRS,2,,,PR09918-18,#N/A,,,,,,,,,,Req_136,2,Knowledge Article Management - Automation
"Req_1171
PP_114",Req_1171_001,Knowledge & Training,New,Priority 1,Knowledge Management,Knowledge Article Management,,Pin favourite articles in CRRS,3,,,#N/A,#N/A,,,,,,,,,,Req_1171,3,Knowledge Article Management
"Req_138
PP_115",Req_138_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management,,"Restrict Direct Access to Certain Articles in Search
",3,,,#N/A,#N/A,,,,,,,,,,Req_138,3,Knowledge Article Management
Req_139,Req_139_002,Knowledge & Training,RFP,Priority 1,Knowledge Management,Case Management,,Attach Relevant Knowledge Articles to Cases and Enable Copy/Paste,2,,,PR09918-114,PR09918-114,,,,,,,,,,Req_139,2,Case Management
"Req_129
PP_116",Req_129_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management,,"Improved Knowledge Article Drafting and Attachments
",3,,,#N/A,#N/A,,,,,,,,,,Req_129,3,Knowledge Article Management
Req_130,Req_130_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management - Automation,,Knowledge Article Approval and Versioning,2,,,PR09918-273,PR09918-273,,,,,,,,,,Req_130,2,Knowledge Article Management - Automation
Req_131,Req_131_002,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management - Automation,,"Enable Non-SFDC Users to Access and Provide Feedback on Knowledge Drafts
",3,,,PR09918-274,PR09918-274,,,,,,,,,,Req_131,3,Knowledge Article Management - Automation
Req_133,Req_133_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management,,"Knowledge Article Creation and Publishing
",2,,,#N/A,PR09918-275,,,,,,,,,,Req_133,2,Knowledge Article Management
Req_137,Req_137_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Search Functionality,,Enhanced Knowledge Article Search for Contact Center Agents,3,,,PR09918-276,PR09918-276,,,,,,,,,,Req_137,3,Search Functionality
Req_140,Req_140_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management,,Providing Feedback and Comments on Published Knowledge Articles,3,,,#N/A,PR09918-277,,,,,,,,,,Req_140,3,Knowledge Article Management
Req_239,Req_239_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Knowledge Article Management - Automation,,System Reminders for Article Updates and Keyword Search,5,,,PR09918-280,PR09918-280,,,,,,,,,,Req_239,5,Knowledge Article Management - Automation
Req_240,Req_240_001,Knowledge & Training,RFP,Priority 1,Knowledge Management,Search Functionality,,Filtering and Searching Knowledge Articles in MyGarage,5,,,PR09918-281,PR09918-281,,,,,,,,,,Req_240,5,Search Functionality
,,,,,,,,,,2700,,,,,,,,,,,,,,,
,,,,,,,,,,23625,,,,,,,,,,,,,,,
,,,,,,,,,,744187.5,,,,,,,,,,,,,,,
